"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",detail,"dst_ip",eventtype,host,index,linecount,punct,severity,source,sourcetype,"splunk_server","splunk_server_group","src_ip","threat_type",timeendpos,timestamp,timestartpos
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
